ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000148488.17,ST8SIA6,ST8SIA6,0.368,-1.039,0.559,0.58,1,-4.61286187771405
ENSG00000141449.16,GREB1L,GREB1L,-0.728,0.512,-0.56,0.58,1,-4.61305021003443
ENSG00000286532.2,PARTICL,PARTICL,-0.171,0.115,-0.559,0.58,1,-4.61481296551812
ENSG00000047648.23,ARHGAP6,ARHGAP6,-0.306,0.789,-0.559,0.58,1,-4.6181790816722
ENSG00000204588.5,LINC01123,LINC01123,-0.288,1.863,-0.559,0.58,1,-4.62701597798427
ENSG00000118961.15,LDAH,LDAH,0.174,4.616,0.56,0.58,1,-4.67334463890716
ENSG00000132376.20,INPP5K,INPP5K,-0.121,4.644,-0.559,0.58,1,-4.68160035046293
ENSG00000262879.7,,,0.126,5.089,0.56,0.58,1,-4.69571142087681
ENSG00000117419.16,ERI3,ERI3,-0.1,5.223,-0.559,0.58,1,-4.69812909868684
ENSG00000105127.10,AKAP8,AKAP8,0.09,5.295,0.56,0.58,1,-4.71066973018836
ENSG00000126001.17,CEP250,CEP250,-0.187,5.382,-0.559,0.58,1,-4.71604351509474
ENSG00000132622.11,HSPA12B,HSPA12B,-0.676,-4.545,-0.557,0.581,1,-4.60084998744344
ENSG00000257551.1,HLX-AS1,HLX-AS1,0.413,-4.88,0.558,0.581,1,-4.60086571987595
ENSG00000287439.1,,,-1.028,-5.489,-0.558,0.581,1,-4.60092374850665
ENSG00000175084.13,DES,DES,1,-4.999,0.559,0.581,1,-4.60115245493015
ENSG00000250961.2,RMEL3,RMEL3,0.549,-2.803,0.558,0.581,1,-4.60436903672753
ENSG00000238000.1,PSME2P1,PSME2P1,-0.372,-1.426,-0.557,0.581,1,-4.60627044132467
ENSG00000130720.13,FIBCD1,FIBCD1,-0.526,-0.311,-0.558,0.581,1,-4.60873803130869
ENSG00000268307.1,LINC02560,LINC02560,0.376,-3.322,0.557,0.581,1,-4.60905473678402
ENSG00000242515.6,UGT1A10,UGT1A10,-1.019,-3.804,-0.559,0.581,1,-4.6112384620783
ENSG00000233830.2,EIF4HP1,EIF4HP1,0.185,-0.824,0.558,0.581,1,-4.61342892686441
ENSG00000127423.11,AUNIP,AUNIP,-0.346,0.662,-0.559,0.581,1,-4.61819825576455
ENSG00000288649.2,ACTL10,ACTL10,-0.223,1.408,-0.559,0.581,1,-4.62091233398628
ENSG00000198744.5,MTCO3P12,MTCO3P12,0.333,-0.109,0.559,0.581,1,-4.62240013182403
ENSG00000112877.8,CEP72,CEP72,0.198,2.27,0.559,0.581,1,-4.63351927673333
ENSG00000188493.15,ACTMAP,ACTMAP,0.157,3.008,0.558,0.581,1,-4.63587566700726
ENSG00000172922.11,RNASEH2C,RNASEH2C,0.255,4.433,0.558,0.581,1,-4.66506709051744
ENSG00000145990.11,GFOD1,GFOD1,-0.194,3.597,-0.559,0.581,1,-4.67857941759377
