ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000186105.8,LRRC70,LRRC70,-0.819,-2.464,0.825,-1.853,-1.019,0.316696236739381,0.698618347382002,-5.48614442561543
ENSG00000164031.17,DNAJB14,DNAJB14,0.205,-0.206,0.615,5.976,1.018,0.316764063193721,0.698618347382002,-6.54618526917413
ENSG00000286667.1,,,-1.256,-3.778,1.265,-3.447,-1.018,0.31681091977766,0.698618347382002,-5.16167118442019
ENSG00000273173.6,SNURF,SNURF,-0.662,-1.991,0.667,-0.295,-1.018,0.316821048494377,0.698618347382002,-5.47141356695263
ENSG00000286695.1,,,-0.888,-2.671,0.894,-5.385,-1.018,0.316847165637802,0.698618347382002,-5.13280495615995
ENSG00000179041.4,RRS1,RRS1,-0.256,-0.77,0.258,4.793,-1.018,0.316855267828537,0.698618347382002,-6.39147785813389
ENSG00000264456.1,,,0.774,-0.78,2.328,-1.742,1.018,0.316981474683874,0.698677990413932,-5.31246478026696
ENSG00000169062.15,UPF3A,UPF3A,0.294,-0.296,0.885,5.28,1.018,0.316982473413525,0.698677990413932,-6.46722412250488
ENSG00000069329.19,VPS35,VPS35,-0.219,-0.66,0.221,7.508,-1.018,0.316983429804295,0.698677990413932,-6.58072343536195
ENSG00000198440.9,ZNF583,ZNF583,-0.264,-0.794,0.266,2.333,-1.018,0.317079357231599,0.698815126027116,-6.01005107021651
ENSG00000102349.18,KLF8,KLF8,-0.485,-1.46,0.489,2.391,-1.018,0.317125490260701,0.698842501658801,-5.63742180546533
ENSG00000142347.20,MYO1F,MYO1F,-0.532,-1.601,0.537,-0.901,-1.017,0.317203112000415,0.698939255077444,-5.45312661000064
ENSG00000272916.5,,,0.406,-0.41,1.223,0.847,1.017,0.317448510234767,0.699405634729165,-5.68988809520177
ENSG00000267199.1,,,0.992,-1.002,2.986,-2.755,1.017,0.317521490957041,0.699492083691759,-5.32041385284149
ENSG00000067704.10,IARS2,IARS2,-0.165,-0.497,0.167,7.016,-1.017,0.31763293562706,0.699663240415359,-6.57121064509179
ENSG00000186462.9,NAP1L2,NAP1L2,-0.63,-1.898,0.637,-1.154,-1.016,0.317707032581176,0.699726315834953,-5.4731546036573
ENSG00000099992.16,TBC1D10A,TBC1D10A,0.148,-0.149,0.445,4.538,1.016,0.317760316140503,0.699726315834953,-6.36355687163549
ENSG00000253710.5,ALG11,ALG11,-0.222,-0.668,0.224,5.994,-1.016,0.317762833442848,0.699726315834953,-6.52185452978649
ENSG00000104852.15,SNRNP70,SNRNP70,0.219,-0.221,0.659,7.107,1.016,0.317822937579405,0.699784333087739,-6.58160299244601
ENSG00000183010.17,PYCR1,PYCR1,0.374,-0.379,1.128,4.959,1.016,0.317889359760502,0.699856247646049,-6.35744128002602
ENSG00000156787.17,TBC1D31,TBC1D31,-0.344,-1.035,0.348,2.917,-1.016,0.317935882651366,0.699884341867136,-6.06754027092742
ENSG00000203875.13,SNHG5,SNHG5,1.035,-1.048,3.118,6.629,1.016,0.318055263685824,0.700072798493007,-6.57756530129552
