ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000100227.19,POLDIP3,POLDIP3,0.211,-0.154,0.576,6.403,1.183,0.246259394475827,0.764673044859781,-6.12062580747736
ENSG00000242028.8,HYPK,HYPK,0.488,-0.355,1.331,4.189,1.183,0.246374737731964,0.76481506722007,-5.7682121079259
ENSG00000037757.14,MRI1,MRI1,0.291,-0.212,0.794,5.013,1.183,0.246431384967922,0.76481506722007,-6.03529904268482
ENSG00000288890.1,,,-0.687,-1.875,0.501,-2.142,-1.182,0.246459312180988,0.76481506722007,-4.92321358987261
ENSG00000254706.3,,,0.906,-0.66,2.473,-1.996,1.182,0.246527890805627,0.76481506722007,-4.88237266117767
ENSG00000231500.7,RPS18,RPS18,-0.34,-0.927,0.248,9.969,-1.182,0.246533668186971,0.76481506722007,-6.16778483092481
ENSG00000286753.3,,,0.519,-0.378,1.416,-1.239,1.182,0.246544269286885,0.76481506722007,-5.03022377231258
ENSG00000136891.14,TEX10,TEX10,0.214,-0.156,0.585,4.927,1.182,0.246563390942196,0.76481506722007,-6.05063808417522
ENSG00000125944.22,HNRNPR,HNRNPR,-0.199,-0.543,0.145,7.225,-1.182,0.246662461287529,0.765007902826222,-6.14555687779592
ENSG00000082258.13,CCNT2,CCNT2,-0.158,-0.431,0.115,5.348,-1.182,0.24679499020713,0.765233884838491,-6.0634573498907
ENSG00000183066.14,WBP2NL,WBP2NL,0.965,-0.704,2.635,-2.742,1.182,0.24680915359528,0.765233884838491,-4.94797640746735
ENSG00000181016.9,LSMEM1,LSMEM1,0.998,-0.73,2.726,-3.745,1.181,0.247104094384055,0.766033778462906,-4.98706401179449
ENSG00000230266.2,XXYLT1-AS2,XXYLT1-AS2,-0.944,-2.579,0.691,-4.461,-1.18,0.247260100337042,0.766234225900086,-4.83368560364751
ENSG00000267855.6,NDUFA7,NDUFA7,0.279,-0.204,0.763,4.873,1.18,0.247275763097225,0.766234225900086,-6.00276070061325
ENSG00000120963.12,ZNF706,ZNF706,-0.225,-0.615,0.165,5.464,-1.18,0.247279641643588,0.766234225900086,-6.06671405727764
ENSG00000197746.15,PSAP,PSAP,-0.346,-0.946,0.253,10.205,-1.18,0.247372945189494,0.766382152843198,-6.17284156428928
ENSG00000072864.16,NDE1,NDE1,-0.298,-0.815,0.218,5.193,-1.18,0.247406660644393,0.766382152843198,-6.0252311400615
ENSG00000197256.11,KANK2,KANK2,-0.356,-0.972,0.26,5.75,-1.18,0.247457987960181,0.766382152843198,-6.03188807866233
ENSG00000141385.12,AFG3L2,AFG3L2,0.188,-0.138,0.514,6.041,1.18,0.247475510186065,0.766382152843198,-6.09067702982222
ENSG00000256508.2,MRGPRF-AS1,MRGPRF-AS1,0.478,-0.35,1.305,-6,1.18,0.247512229294993,0.766382152843198,-4.86856092702616
ENSG00000226221.1,RPL26P19,RPL26P19,-0.362,-0.99,0.265,0.172,-1.18,0.247554760246689,0.766399369760135,-5.20846030058554
ENSG00000118518.17,RNF146,RNF146,-0.214,-0.585,0.157,4.696,-1.18,0.247619860486577,0.766415805686413,-5.90996646093261
ENSG00000112695.13,COX7A2,COX7A2,-0.278,-0.76,0.204,6.862,-1.179,0.247649331590894,0.766415805686413,-6.14140727292962
ENSG00000125505.17,MBOAT7,MBOAT7,0.261,-0.191,0.713,6.776,1.179,0.247738416585267,0.766415805686413,-6.12391415249587
ENSG00000288849.1,,,-0.282,-0.77,0.207,2.917,-1.179,0.24780426235819,0.766415805686413,-5.56331634091531
ENSG00000115998.8,C2orf42,C2orf42,-0.191,-0.521,0.14,3.271,-1.179,0.247815630936803,0.766415805686413,-5.67071372185102
ENSG00000261456.6,TUBB8,TUBB8,1.828,-1.341,4.998,-4.01,1.179,0.247900586259701,0.766415805686413,-4.79498008860578
ENSG00000051180.17,RAD51,RAD51,0.684,-0.502,1.87,2.425,1.179,0.247915342314613,0.766415805686413,-5.59962392337696
ENSG00000006118.15,TMEM132A,TMEM132A,-0.512,-1.4,0.376,6.421,-1.179,0.247946024137294,0.766415805686413,-6.07071618368186
ENSG00000069956.14,MAPK6,MAPK6,-0.25,-0.684,0.184,7.078,-1.179,0.247950384184387,0.766415805686413,-6.14911693546838
ENSG00000007944.15,MYLIP,MYLIP,-0.498,-1.36,0.365,4.013,-1.179,0.247964900188928,0.766415805686413,-5.56019465002719
ENSG00000232859.10,LYRM9,LYRM9,-0.388,-1.06,0.285,2.55,-1.179,0.247966753918899,0.766415805686413,-5.46031243051666
ENSG00000248964.7,,,-1.16,-3.171,0.851,-4.793,-1.178,0.248018263641513,0.766460734240991,-4.84657606154125
ENSG00000136830.12,NIBAN2,NIBAN2,0.275,-0.202,0.751,8.85,1.178,0.248062724796615,0.766483870179435,-6.17462250401047
ENSG00000253251.3,SHLD3,SHLD3,-0.446,-1.22,0.328,1.44,-1.178,0.248147081558668,0.766630253459193,-5.42452302428352
ENSG00000092199.19,HNRNPC,HNRNPC,-0.302,-0.825,0.222,9.164,-1.178,0.248221139823409,0.766743102350507,-6.17464793033703
ENSG00000136813.15,ECPAS,ECPAS,0.161,-0.119,0.441,6.808,1.178,0.248257583356324,0.766743102350507,-6.13910702846285
ENSG00000100938.19,GMPR2,GMPR2,0.391,-0.288,1.071,5.66,1.177,0.248484656760822,0.767330096030363,-6.03644485447448
ENSG00000137731.14,FXYD2,FXYD2,-1.12,-3.063,0.824,-1.895,-1.177,0.248586946237572,0.76744386969433,-4.95926353636988
ENSG00000137975.8,CLCA2,CLCA2,-1.234,-3.378,0.909,4.708,-1.177,0.248597019995261,0.76744386969433,-5.57001170553802
ENSG00000158850.15,B4GALT3,B4GALT3,0.322,-0.237,0.88,4.823,1.177,0.248632562897594,0.76744386969433,-5.93406595955276
ENSG00000120162.10,MOB3B,MOB3B,-0.54,-1.478,0.398,1.818,-1.177,0.248771850987187,0.767759486521421,-5.28641353539716
ENSG00000289047.2,,,-0.359,-0.983,0.265,4.062,-1.176,0.24890932401499,0.767805670270548,-5.79801682457692
ENSG00000203635.2,,,-1.353,-3.704,0.998,-2.837,-1.176,0.24901439483946,0.767805670270548,-4.79245511963144
ENSG00000147894.17,C9orf72,C9orf72,-0.424,-1.161,0.313,3.792,-1.176,0.249042068808065,0.767805670270548,-5.66739549018523
ENSG00000170385.10,SLC30A1,SLC30A1,-0.262,-0.718,0.194,6.03,-1.176,0.249055401622517,0.767805670270548,-6.12472121167949
ENSG00000239306.5,RBM14,RBM14,0.25,-0.185,0.684,5.9,1.176,0.249134803713048,0.767805670270548,-6.10657827874603
ENSG00000047597.7,XK,XK,-0.914,-2.502,0.675,-0.447,-1.175,0.249205612667619,0.767805670270548,-5.06994958356696
ENSG00000237765.8,FAM200B,FAM200B,-0.28,-0.768,0.207,4.592,-1.175,0.249211704404897,0.767805670270548,-5.94702573838114
ENSG00000210082.2,MT-RNR2,MT-RNR2,0.396,-0.293,1.085,12.34,1.175,0.249217214450807,0.767805670270548,-6.16684160400239
ENSG00000100258.18,LMF2,LMF2,0.198,-0.146,0.542,5.997,1.175,0.249219037614545,0.767805670270548,-6.11081718285712
ENSG00000114416.19,FXR1,FXR1,-0.122,-0.335,0.09,6.641,-1.175,0.249271997648334,0.767805670270548,-6.13239125289065
ENSG00000224984.1,,,-1.068,-2.925,0.789,-4.209,-1.175,0.249278175931145,0.767805670270548,-4.83546533054625
ENSG00000228606.4,DCAF8-DT,DCAF8-DT,1.039,-0.768,2.847,-2.533,1.175,0.249297263812625,0.767805670270548,-4.94270763544623
ENSG00000177169.10,ULK1,ULK1,0.331,-0.244,0.906,5.397,1.175,0.249301821823684,0.767805670270548,-6.03403389235782
ENSG00000286427.1,,,-0.78,-2.137,0.577,-3.087,-1.175,0.249305352946988,0.767805670270548,-4.90356962864582
ENSG00000114735.10,HEMK1,HEMK1,0.237,-0.175,0.649,3.981,1.174,0.24971005865227,0.768867227293801,-5.84770839648242
ENSG00000167261.14,DPEP2,DPEP2,1.669,-1.236,4.573,-2.752,1.174,0.249724218107533,0.768867227293801,-4.80782375766881
ENSG00000137880.6,GCHFR,GCHFR,-0.537,-1.471,0.398,3.128,-1.174,0.249764281879218,0.768876383034776,-5.3830524319087
ENSG00000115271.11,GCA,GCA,-0.469,-1.285,0.348,3.512,-1.174,0.249891827847274,0.769120095613894,-5.57726162433328
ENSG00000157259.8,GATAD1,GATAD1,0.22,-0.163,0.604,5.618,1.174,0.249917653837684,0.769120095613894,-6.07392891803002
ENSG00000063438.20,AHRR,AHRR,1.079,-0.8,2.957,0.481,1.173,0.249992705534555,0.769236868892879,-5.29102157385535
ENSG00000167272.11,POP5,POP5,-0.385,-1.056,0.286,3.883,-1.173,0.250143020201992,0.769515421850935,-5.84541211365077
ENSG00000168924.15,LETM1,LETM1,0.205,-0.152,0.562,6.37,1.173,0.250189267120042,0.769515421850935,-6.13217471148997
ENSG00000291056.1,SEPTIN7P9,SEPTIN7P9,-1.023,-2.807,0.76,-3.377,-1.173,0.25022340506968,0.769515421850935,-4.89215528624103
ENSG00000237232.9,ZNF295-AS1,ZNF295-AS1,1.052,-0.781,2.886,-0.655,1.173,0.250254886187951,0.769515421850935,-5.07230242353954
ENSG00000198040.11,ZNF84,ZNF84,-0.317,-0.871,0.236,4.355,-1.173,0.250268836185191,0.769515421850935,-5.8693841281599
ENSG00000162144.10,CYB561A3,CYB561A3,-0.216,-0.593,0.161,5.665,-1.172,0.250459677158391,0.769988003484123,-6.07346830248509
ENSG00000239407.5,,,0.425,-0.316,1.166,-0.303,1.172,0.250498329434481,0.769992640743891,-5.14204476132793
ENSG00000003096.15,KLHL13,KLHL13,-0.632,-1.734,0.47,3.06,-1.172,0.250554477082423,0.770033126744584,-5.57495045188538
ENSG00000293106.1,,,0.641,-0.477,1.76,2.647,1.172,0.250585792234393,0.770033126744584,-5.60025211775563
ENSG00000122218.17,COPA,COPA,0.203,-0.151,0.556,7.891,1.172,0.250670373667291,0.770178871516665,-6.16590381356516
ENSG00000111358.14,GTF2H3,GTF2H3,-0.196,-0.539,0.146,5.57,-1.171,0.250787179576079,0.770264498891404,-6.1057295646909
ENSG00000197852.12,INKA2,INKA2,0.516,-0.384,1.415,3.373,1.171,0.250803155577246,0.770264498891404,-5.64296698267839
ENSG00000109321.11,AREG,AREG,0.792,-0.59,2.175,3.497,1.171,0.250817225895317,0.770264498891404,-5.6747809465109
ENSG00000236914.4,LINC01852,LINC01852,-0.741,-2.033,0.552,-1.304,-1.171,0.250846870816009,0.770264498891404,-4.98996042560333
ENSG00000103888.17,CEMIP,CEMIP,0.657,-0.489,1.802,5.53,1.171,0.250891811314957,0.770284446086226,-6.16984006144754
ENSG00000117601.15,SERPINC1,SERPINC1,0.952,-0.71,2.614,-3.296,1.171,0.250967885984945,0.770284446086226,-4.92670465606114
ENSG00000157800.18,SLC37A3,SLC37A3,0.224,-0.167,0.615,5.274,1.171,0.250972523656947,0.770284446086226,-6.01493041574322
