ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000287808.1,DHX9-AS1,DHX9-AS1,-0.099,-1.553,1.356,-2.113,-0.139,0.890749565466382,0.999984495355126,-4.62960680434702
ENSG00000125845.7,BMP2,BMP2,0.117,-1.605,1.839,3.511,0.139,0.890766854092622,0.999984495355126,-4.71749951189051
ENSG00000181555.22,SETD2,SETD2,0.019,-0.26,0.298,6.151,0.138,0.890788331773103,0.999984495355126,-4.92349497802048
ENSG00000233680.4,HNRNPA1P27,HNRNPA1P27,0.125,-1.725,1.976,-2.616,0.138,0.890811881613995,0.999984495355126,-4.62741657515138
ENSG00000279689.1,,,-0.079,-1.25,1.091,-0.223,-0.138,0.890819572141565,0.999984495355126,-4.64843194418052
ENSG00000084710.14,EFR3B,EFR3B,0.135,-1.862,2.132,0.986,0.138,0.890850366385234,0.999984495355126,-4.64630744135992
ENSG00000111679.17,PTPN6,PTPN6,-0.028,-0.436,0.381,2.809,-0.138,0.890865048732517,0.999984495355126,-4.84198785643859
ENSG00000128346.11,C22orf23,C22orf23,0.097,-1.339,1.533,-0.858,0.138,0.890868557197942,0.999984495355126,-4.63670909510307
ENSG00000104129.10,DNAJC17,DNAJC17,0.03,-0.411,0.471,3.552,0.138,0.890868786883751,0.999984495355126,-4.75150667857113
ENSG00000101842.14,VSIG1,VSIG1,0.165,-2.267,2.596,0.511,0.138,0.890932477016122,0.999984495355126,-4.65132539413699
ENSG00000126005.17,MMP24OS,MMP24OS,-0.04,-0.635,0.554,5.872,-0.138,0.890939320421438,0.999984495355126,-4.89626094202956
ENSG00000198736.13,MSRB1,MSRB1,0.043,-0.596,0.682,4.177,0.138,0.891008743912505,0.999984495355126,-4.74262738672688
ENSG00000167693.17,NXN,NXN,-0.051,-0.809,0.706,6.079,-0.138,0.891011692407476,0.999984495355126,-4.90513307332077
ENSG00000126785.13,RHOJ,RHOJ,-0.245,-3.872,3.382,-1.727,-0.138,0.891020464890464,0.999984495355126,-4.61218679376386
ENSG00000140382.15,HMG20A,HMG20A,0.018,-0.251,0.287,4.942,0.138,0.891036573509995,0.999984495355126,-4.84145622790664
ENSG00000196542.9,SPTSSB,SPTSSB,-0.122,-1.921,1.678,-0.697,-0.138,0.89106429283114,0.999984495355126,-4.67422090881824
ENSG00000226179.6,LINC00685,LINC00685,-0.199,-3.143,2.746,-4.588,-0.138,0.891140481679789,0.999984495355126,-4.61596375400287
ENSG00000182463.17,TSHZ2,TSHZ2,0.073,-1.007,1.153,2.362,0.138,0.891149264242334,0.999984495355126,-4.81309893288352
ENSG00000279456.1,,,0.064,-0.881,1.008,-1.82,0.138,0.891161609299087,0.999984495355126,-4.6377215130414
ENSG00000143319.17,ISG20L2,ISG20L2,0.038,-0.518,0.594,5.658,0.138,0.891175587347426,0.999984495355126,-4.90325744028509
ENSG00000182218.10,HHIPL1,HHIPL1,-0.132,-2.086,1.822,-0.896,-0.138,0.891185763520105,0.999984495355126,-4.62839408350643
ENSG00000176887.7,SOX11,SOX11,0.339,-4.686,5.365,-3.024,0.138,0.891208481263008,0.999984495355126,-4.61216543167562
ENSG00000197785.14,ATAD3A,ATAD3A,0.042,-0.579,0.663,5.623,0.138,0.891214903591516,0.999984495355126,-4.89013485136329
ENSG00000221944.9,TIGD1,TIGD1,0.046,-0.642,0.735,1.38,0.138,0.89123738650599,0.999984495355126,-4.67092805905207
ENSG00000099994.11,SUSD2,SUSD2,-0.275,-4.359,3.808,0.957,-0.138,0.891268771162615,0.999984495355126,-4.64640964927159
ENSG00000074590.14,NUAK1,NUAK1,0.101,-1.397,1.599,3.88,0.138,0.891296799234092,0.999984495355126,-4.72208235990963
ENSG00000102032.13,RENBP,RENBP,0.119,-1.644,1.882,0.725,0.138,0.89134982233876,0.999984495355126,-4.64065364353266
ENSG00000148908.15,RGS10,RGS10,-0.106,-1.686,1.473,3.573,-0.138,0.8913632670612,0.999984495355126,-4.74431098913321
ENSG00000278932.6,,,0.177,-2.453,2.808,-0.625,0.138,0.891420980273486,0.999984495355126,-4.63914235174477
ENSG00000081059.20,TCF7,TCF7,0.086,-1.186,1.357,2.616,0.138,0.891504063524758,0.999984495355126,-4.70484234449386
ENSG00000187952.9,HS6ST1P1,HS6ST1P1,-0.064,-1.021,0.893,-3.44,-0.138,0.891546462030889,0.999984495355126,-4.63031066411897
ENSG00000197261.12,C6orf141,C6orf141,0.11,-1.527,1.748,2.146,0.138,0.891565984856215,0.999984495355126,-4.68029032778017
ENSG00000269514.3,,,0.108,-1.496,1.712,-2.266,0.137,0.891573375895171,0.999984495355126,-4.62922655812246
ENSG00000275944.1,,,-0.089,-1.409,1.231,-5.464,-0.137,0.891578529346104,0.999984495355126,-4.61876729711725
ENSG00000254979.5,,,0.142,-1.967,2.251,-1.673,0.137,0.891591385077563,0.999984495355126,-4.62831607889861
ENSG00000178537.10,SLC25A20,SLC25A20,-0.049,-0.782,0.683,4.026,-0.137,0.89159210365621,0.999984495355126,-4.77908546155627
ENSG00000143374.18,TARS2,TARS2,-0.028,-0.44,0.384,4.502,-0.137,0.891622172366384,0.999984495355126,-4.84316895286331
ENSG00000256060.3,TRAPPC2B,TRAPPC2B,-0.048,-0.763,0.667,2.583,-0.137,0.891623983140243,0.999984495355126,-4.69294204816191
ENSG00000274847.1,MAFIP,MAFIP,0.152,-2.115,2.42,1.226,0.137,0.891638476782672,0.999984495355126,-4.66285809852062
ENSG00000169252.6,ADRB2,ADRB2,0.045,-0.621,0.71,3.875,0.137,0.891654373431051,0.999984495355126,-4.85097004278144
ENSG00000185332.8,TMEM105,TMEM105,0.082,-1.141,1.305,-2.653,0.137,0.891699500043148,0.999984495355126,-4.63568178825401
ENSG00000105948.13,IFT56,IFT56,-0.067,-1.063,0.929,4.059,-0.137,0.89172037821308,0.999984495355126,-4.75975883601232
ENSG00000253320.7,MAILR,MAILR,0.073,-1.02,1.166,0.331,0.137,0.891729917954806,0.999984495355126,-4.65458529193289
ENSG00000132485.14,ZRANB2,ZRANB2,0.025,-0.348,0.398,6.429,0.137,0.891783368862354,0.999984495355126,-4.91372912380603
ENSG00000198763.3,MT-ND2,MT-ND2,0.028,-0.393,0.45,10.679,0.137,0.891790637456896,0.999984495355126,-4.95354796763744
ENSG00000132915.12,PDE6A,PDE6A,0.139,-1.934,2.212,-2.955,0.137,0.891801131532785,0.999984495355126,-4.62347735846734
ENSG00000163219.12,ARHGAP25,ARHGAP25,-0.12,-1.906,1.666,0.382,-0.137,0.891808687145358,0.999984495355126,-4.64546955113335
ENSG00000168116.14,KIAA1586,KIAA1586,-0.044,-0.702,0.614,3.029,-0.137,0.891841785044674,0.999984495355126,-4.69036391160486
