ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000091651.9,ORC6,ORC6,0.313,-1.707,2.333,3.239,0.317,0.753633552020546,0.999287367938016,-6.30662089731058
ENSG00000007944.15,MYLIP,MYLIP,-0.104,-0.773,0.565,4.013,-0.317,0.753710443291604,0.999287367938016,-6.55174210043544
ENSG00000172500.13,FIBP,FIBP,0.075,-0.407,0.557,5.292,0.317,0.753777515351462,0.999287367938016,-6.69432389625338
ENSG00000039068.20,CDH1,CDH1,0.055,-0.301,0.411,4.428,0.317,0.75381833949529,0.999287367938016,-6.93536720556183
ENSG00000130598.17,TNNI2,TNNI2,0.325,-1.774,2.424,-3.024,0.317,0.753843041055217,0.999287367938016,-5.49047298629119
ENSG00000141968.8,VAV1,VAV1,-0.209,-1.557,1.14,-0.277,-0.316,0.754091293979529,0.999287367938016,-5.82330181149853
ENSG00000289606.1,,,-0.13,-0.97,0.71,-1.623,-0.316,0.754208391156139,0.999287367938016,-5.63019570676533
ENSG00000256591.5,,,-0.115,-0.857,0.628,2.331,-0.316,0.754312385727289,0.999287367938016,-6.05291467632956
ENSG00000144355.15,DLX1,DLX1,0.332,-1.817,2.482,-4.389,0.316,0.754319969060783,0.999287367938016,-5.38632639151857
ENSG00000253352.10,TUG1,TUG1,-0.053,-0.398,0.292,7.335,-0.316,0.754405294949865,0.999287367938016,-6.91291633383536
ENSG00000162975.5,KCNF1,KCNF1,0.392,-2.148,2.933,-2.558,0.316,0.754431224749217,0.999287367938016,-5.61389770719075
ENSG00000138744.16,NAAA,NAAA,0.186,-1.018,1.39,3.73,0.316,0.754476873222331,0.999287367938016,-6.18383671298717
ENSG00000169155.10,ZBTB43,ZBTB43,-0.143,-1.066,0.781,4.629,-0.316,0.75449845700862,0.999287367938016,-6.74315241990996
ENSG00000136883.16,KIF12,KIF12,0.322,-1.765,2.409,-3.749,0.316,0.754517931923682,0.999287367938016,-5.53990161024971
ENSG00000171435.15,KSR2,KSR2,-0.32,-2.393,1.753,-1.022,-0.316,0.75457229285228,0.999287367938016,-5.70026547644594
ENSG00000105767.3,CADM4,CADM4,-0.131,-0.983,0.72,3.555,-0.315,0.754622061449324,0.999287367938016,-6.55808424813825
ENSG00000161888.12,SPC24,SPC24,-0.408,-3.053,2.237,2.132,-0.315,0.754692419621299,0.999287367938016,-6.09016094993488
ENSG00000155254.13,MARVELD1,MARVELD1,-0.114,-0.853,0.625,5.828,-0.315,0.754742970696069,0.999287367938016,-6.76950669733981
ENSG00000185986.14,SDHAP3,SDHAP3,-0.769,-5.751,4.214,-4.444,-0.315,0.754775730967319,0.999287367938016,-5.39530291149772
ENSG00000257771.6,LINC02395,LINC02395,0.338,-1.854,2.531,-3.996,0.315,0.754835453706824,0.999287367938016,-5.44037229195574
ENSG00000174891.14,RSRC1,RSRC1,-0.099,-0.74,0.542,4.345,-0.315,0.754861981132509,0.999287367938016,-6.54136506100807
ENSG00000197763.20,TXNRD3,TXNRD3,0.09,-0.493,0.672,3.388,0.315,0.754897291244102,0.999287367938016,-6.40233499087673
ENSG00000104427.13,ZC2HC1A,ZC2HC1A,0.139,-0.763,1.041,4.15,0.315,0.755055515240572,0.999287367938016,-6.28374606269137
ENSG00000154781.17,CCDC174,CCDC174,0.079,-0.436,0.594,4.088,0.315,0.755141085112733,0.999287367938016,-6.57497599993617
ENSG00000206341.7,HLA-H,HLA-H,0.276,-1.515,2.067,2.496,0.315,0.755141977139308,0.999287367938016,-6.07560883043303
ENSG00000108091.11,CCDC6,CCDC6,-0.06,-0.446,0.327,6.759,-0.315,0.75526632164742,0.999287367938016,-6.89561901891387
ENSG00000229109.2,FRMD3-AS1,FRMD3-AS1,0.401,-2.205,3.007,-2.236,0.315,0.755299804943245,0.999287367938016,-5.53102844059493
ENSG00000106992.19,AK1,AK1,-0.107,-0.8,0.587,5.428,-0.315,0.755323806216096,0.999287367938016,-6.6562187020493
ENSG00000134480.17,CCNH,CCNH,0.117,-0.642,0.875,4.882,0.314,0.755473698703193,0.999287367938016,-6.59935767669647
ENSG00000227051.7,C14orf132,C14orf132,-0.409,-3.067,2.249,3.223,-0.314,0.755493518238477,0.999287367938016,-6.07293942356137
ENSG00000203721.8,LINC00862,LINC00862,0.273,-1.502,2.047,-1.968,0.314,0.755518340716748,0.999287367938016,-5.68212967417278
ENSG00000204237.5,OXLD1,OXLD1,0.074,-0.409,0.558,3.887,0.314,0.75557580935879,0.999287367938016,-6.44935478771672
ENSG00000134262.14,AP4B1,AP4B1,0.072,-0.394,0.537,3.998,0.314,0.755581798826125,0.999287367938016,-6.45207594075831
ENSG00000214290.9,POU2AF3,POU2AF3,0.148,-0.816,1.112,-1.342,0.314,0.755617004305004,0.999287367938016,-5.9048504528949
ENSG00000128626.12,MRPS12,MRPS12,-0.061,-0.457,0.335,5.128,-0.314,0.755620652941343,0.999287367938016,-6.7079012921955
ENSG00000186185.14,KIF18B,KIF18B,0.308,-1.694,2.31,2.76,0.314,0.755646892327807,0.999287367938016,-6.27350385388314
ENSG00000143771.12,CNIH4,CNIH4,-0.085,-0.64,0.47,5.726,-0.314,0.755701715020745,0.999287367938016,-6.79829654955535
ENSG00000100012.12,SEC14L3,SEC14L3,-0.575,-4.318,3.168,-3.938,-0.314,0.755724881035884,0.999287367938016,-5.34177876088791
ENSG00000275993.4,,,0.485,-2.674,3.644,3.951,0.314,0.755748371466677,0.999287367938016,-6.05477661311518
ENSG00000198380.13,GFPT1,GFPT1,-0.058,-0.439,0.322,7.025,-0.314,0.755754153096603,0.999287367938016,-6.88548965396803
ENSG00000101444.13,AHCY,AHCY,-0.072,-0.544,0.399,7.262,-0.314,0.755764111791856,0.999287367938016,-6.91468206434845
ENSG00000116299.17,ELAPOR1,ELAPOR1,-0.215,-1.614,1.184,2.559,-0.314,0.755798530410606,0.999287367938016,-6.12538805013221
ENSG00000151287.17,TEX30,TEX30,-0.214,-1.611,1.182,3.412,-0.314,0.755889767330811,0.999287367938016,-6.17671262076926
ENSG00000132207.18,SLX1A,SLX1A,0.124,-0.685,0.934,4.192,0.314,0.755971341422437,0.999287367938016,-6.50557960811451
ENSG00000221874.4,ZNF816-ZNF321P,ZNF816-ZNF321P,0.469,-2.589,3.527,-2.554,0.314,0.756043907637273,0.999287367938016,-5.4244934065035
ENSG00000254986.8,DPP3,DPP3,0.059,-0.328,0.447,6.095,0.314,0.75607433005563,0.999287367938016,-6.85412453017171
ENSG00000105750.15,ZNF85,ZNF85,-0.168,-1.263,0.927,2.158,-0.313,0.756108300775856,0.999287367938016,-6.08949931843643
ENSG00000176890.16,TYMS,TYMS,-0.25,-1.883,1.382,4.579,-0.313,0.756170454957221,0.999287367938016,-6.64014440401067
ENSG00000155099.8,PIP4P2,PIP4P2,0.114,-0.629,0.857,2.848,0.313,0.756204713627864,0.999287367938016,-6.23410925941639
ENSG00000285625.1,,,-1.523,-11.454,8.409,-3.204,-0.313,0.756260260846256,0.999287367938016,-5.4739978792445
ENSG00000151136.15,ABTB3,ABTB3,-0.293,-2.205,1.619,3.242,-0.313,0.756302437197974,0.999287367938016,-6.00578482885334
ENSG00000119471.15,HSDL2,HSDL2,-0.111,-0.833,0.612,5.856,-0.313,0.756304759441752,0.999287367938016,-6.82158113523422
ENSG00000228903.8,RASA4CP,RASA4CP,0.243,-1.344,1.831,-1.109,0.313,0.756320046321129,0.999287367938016,-5.84011339565009
ENSG00000135622.13,SEMA4F,SEMA4F,0.143,-0.788,1.073,3.001,0.313,0.75635573088005,0.999287367938016,-6.30908249599372
ENSG00000151164.19,RAD9B,RAD9B,0.216,-1.196,1.629,-0.164,0.313,0.756385088020331,0.999287367938016,-5.77308150412807
ENSG00000239264.9,TXNDC5,TXNDC5,-0.138,-1.039,0.763,7.815,-0.313,0.756439764010762,0.999287367938016,-6.91460592944385
ENSG00000243667.7,DNAAF10,DNAAF10,0.107,-0.592,0.806,3.78,0.313,0.756561455953306,0.999287367938016,-6.37948330091778
ENSG00000155561.15,NUP205,NUP205,0.072,-0.397,0.54,6.051,0.313,0.756573214799074,0.999287367938016,-6.8374841736685
ENSG00000289384.2,,,-0.391,-2.949,2.166,-3.269,-0.313,0.756576601043871,0.999287367938016,-5.46398604131079
ENSG00000158008.10,EXTL1,EXTL1,0.321,-1.778,2.421,-4.663,0.313,0.756623863808123,0.999287367938016,-5.33899065160302
ENSG00000175121.12,WFDC5,WFDC5,-0.284,-2.139,1.571,-3.55,-0.313,0.756685803757515,0.999287367938016,-5.45384498038741
ENSG00000163141.20,BNIPL,BNIPL,0.232,-1.282,1.745,1.156,0.313,0.756709610364415,0.999287367938016,-6.07417884399571
ENSG00000214022.12,REPIN1,REPIN1,-0.064,-0.486,0.357,6.305,-0.313,0.75684362596228,0.999287367938016,-6.83758390380451
ENSG00000177144.8,NUDT4B,NUDT4B,-0.234,-1.766,1.298,3.818,-0.312,0.756915141536144,0.999287367938016,-6.27986355659291
ENSG00000135801.11,TAF5L,TAF5L,-0.049,-0.369,0.272,4.909,-0.312,0.757024980521682,0.999287367938016,-6.67080353595618
ENSG00000002746.15,HECW1,HECW1,0.441,-2.445,3.327,-4.887,0.312,0.757047099630232,0.999287367938016,-5.36826499814431
ENSG00000291064.1,,RPL23AP7,-0.112,-0.845,0.621,4.084,-0.312,0.757084593492284,0.999287367938016,-6.40452274849711
ENSG00000118217.7,ATF6,ATF6,0.05,-0.278,0.378,6.397,0.312,0.757180857994556,0.999287367938016,-6.82874958598257
ENSG00000142945.13,KIF2C,KIF2C,0.344,-1.909,2.597,3.582,0.312,0.757286621832261,0.999287367938016,-6.40971281097316
ENSG00000176381.6,PRR18,PRR18,-0.321,-2.425,1.783,-2.298,-0.312,0.75730418523027,0.999287367938016,-5.62486181423518
ENSG00000250132.6,,,-0.135,-1.019,0.749,0.202,-0.312,0.757312077358212,0.999287367938016,-5.85007160473644
ENSG00000157578.14,LCA5L,LCA5L,-0.219,-1.657,1.219,1.623,-0.312,0.757373177302982,0.999287367938016,-5.86547877354349
ENSG00000057468.7,MSH4,MSH4,-0.272,-2.053,1.509,-3.916,-0.312,0.757379110404093,0.999287367938016,-5.49109129651275
