ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000142534.7,RPS11,RPS11,-0.336,9.395,-2.013,0.053,0.203,-5.21162117872229
ENSG00000168754.15,FAM178B,FAM178B,-1.466,-3.665,-2.004,0.054,0.205,-3.95001037795408
ENSG00000228532.4,SUMO2P21,SUMO2P21,-1.081,-1.979,-2.006,0.054,0.205,-4.02737532957576
ENSG00000061455.11,PRDM6,PRDM6,2.001,-0.936,2.009,0.054,0.204,-4.07644526878724
ENSG00000246174.10,KCTD21-AS1,KCTD21-AS1,-1.37,-0.35,-2.003,0.054,0.206,-4.08073247262012
ENSG00000278416.1,PMS2P2,PMS2P2,1.211,-0.755,2.007,0.054,0.204,-4.08494675401511
ENSG00000165568.18,AKR1E2,AKR1E2,1.239,-0.191,2.005,0.054,0.205,-4.15246798787716
ENSG00000281357.5,ARRDC3-AS1,ARRDC3-AS1,0.922,0.248,2.003,0.054,0.205,-4.16933678517257
ENSG00000174721.10,FGFBP3,FGFBP3,-0.752,0.079,-2.004,0.054,0.205,-4.17789333465469
ENSG00000153982.11,GDPD1,GDPD1,-0.798,2.141,-2.008,0.054,0.204,-4.28804474709515
ENSG00000293057.1,,,-0.593,1.715,-2.008,0.054,0.204,-4.34945897073145
ENSG00000148842.18,CNNM2,CNNM2,-0.633,2.937,-2.008,0.054,0.204,-4.44587279694626
ENSG00000293492.1,NUDT16L2P,NUDT16L2P,-0.608,1.271,-2.007,0.054,0.204,-4.46524759533081
ENSG00000171970.14,ZNF57,ZNF57,-0.382,1.929,-2.009,0.054,0.204,-4.47924265576285
ENSG00000109881.17,CCDC34,CCDC34,-1.244,3.209,-2.005,0.054,0.205,-4.50070665768244
ENSG00000132541.11,RIDA,RIDA,-0.548,3.766,-2.007,0.054,0.204,-4.58153234345232
ENSG00000163913.14,IFT122,IFT122,0.95,4.348,2.009,0.054,0.204,-4.58578262485304
ENSG00000162636.16,EEIG2,EEIG2,-0.935,3.585,-2.009,0.054,0.204,-4.60734097488135
ENSG00000115750.17,TAF1B,TAF1B,0.802,3.953,2.009,0.054,0.204,-4.71193606336791
ENSG00000172057.10,ORMDL3,ORMDL3,-0.604,5.394,-2.01,0.054,0.204,-4.88622599335382
ENSG00000083093.11,PALB2,PALB2,-0.288,4.005,-2.008,0.054,0.204,-4.92271716307529
ENSG00000055147.19,FAM114A2,FAM114A2,0.315,4.686,2.007,0.054,0.204,-4.94278430619708
ENSG00000100142.16,POLR2F,POLR2F,-0.528,5.003,-2.005,0.054,0.205,-4.95811781084764
ENSG00000138442.11,WDR12,WDR12,-0.481,5.29,-2.01,0.054,0.204,-5.10168193454416
ENSG00000168090.10,COPS6,COPS6,-0.494,6.549,-2.007,0.054,0.204,-5.11646834552369
ENSG00000164305.20,CASP3,CASP3,-0.428,6.075,-2.009,0.054,0.204,-5.13514905688427
ENSG00000077150.21,NFKB2,NFKB2,0.429,5.258,2.006,0.054,0.204,-5.1387631696678
ENSG00000107679.15,PLEKHA1,PLEKHA1,-0.317,6.038,-2.005,0.054,0.205,-5.14711996455169
ENSG00000164096.13,C4orf3,C4orf3,-0.562,7.144,-2.011,0.054,0.203,-5.14807904048829
ENSG00000119383.21,PTPA,PTPA,-0.312,7.017,-2.008,0.054,0.204,-5.17476800966616
ENSG00000107863.20,ARHGAP21,ARHGAP21,0.311,6.738,2.01,0.054,0.204,-5.18542197909039
ENSG00000153560.12,UBP1,UBP1,0.245,6.625,2.006,0.054,0.205,-5.18634127975332
ENSG00000104852.15,SNRNP70,SNRNP70,0.377,7.107,2.008,0.054,0.204,-5.19565082686185
ENSG00000086061.16,DNAJA1,DNAJA1,0.333,7.808,2.011,0.054,0.203,-5.20443026478797
ENSG00000233927.5,RPS28,RPS28,-0.41,8.409,-2.004,0.054,0.205,-5.21838535355166
ENSG00000260372.7,AQP4-AS1,AQP4-AS1,-1.862,-2.916,-1.999,0.055,0.206,-3.94505526922845
ENSG00000221843.6,C2orf16,C2orf16,2.077,-4.186,1.999,0.055,0.207,-3.98065291267565
ENSG00000264668.2,,,3.187,-2.872,2.001,0.055,0.206,-3.9947086175102
ENSG00000224165.8,DNAJC27-AS1,DNAJC27-AS1,-1.259,-1.679,-1.999,0.055,0.206,-4.0755968281306
ENSG00000289546.1,,,1.31,-1.354,1.999,0.055,0.206,-4.08314259812569
ENSG00000225742.6,LINC02036,LINC02036,-0.968,-2.434,-1.995,0.055,0.208,-4.10592722013508
ENSG00000250519.7,,,1.471,-1.99,1.999,0.055,0.206,-4.12829422165854
ENSG00000108984.16,MAP2K6,MAP2K6,-1.668,1.767,-2.001,0.055,0.206,-4.20930948897826
ENSG00000285458.1,,C4orf36,0.743,0.65,1.996,0.055,0.207,-4.28292533210349
ENSG00000108932.13,SLC16A6,SLC16A6,-1.128,0.593,-1.996,0.055,0.207,-4.31699139397672
ENSG00000197062.12,ZSCAN26,ZSCAN26,-0.593,2.943,-1.998,0.055,0.207,-4.46977577743263
ENSG00000260804.3,LINC01963,LINC01963,-0.59,2.017,-2,0.055,0.206,-4.49498214012731
ENSG00000228526.8,MIR34AHG,MIR34AHG,-0.633,2.579,-1.998,0.055,0.207,-4.57835924474192
ENSG00000147650.12,LRP12,LRP12,-0.697,3.978,-1.995,0.055,0.208,-4.64417873111908
ENSG00000196867.8,ZFP28,ZFP28,0.592,2.697,1.998,0.055,0.207,-4.66809630670566
ENSG00000135617.4,PRADC1,PRADC1,-0.662,3.924,-1.997,0.055,0.207,-4.68449278699716
ENSG00000227640.5,SOX21-AS1,SOX21-AS1,-0.772,0.481,-2.002,0.055,0.206,-4.70125796985871
ENSG00000135587.9,SMPD2,SMPD2,0.657,3.75,2,0.055,0.206,-4.72989583131675
ENSG00000139182.15,CLSTN3,CLSTN3,0.797,4.699,1.995,0.055,0.208,-4.83708283160556
ENSG00000205981.9,DNAJC19,DNAJC19,-0.615,4.53,-1.994,0.055,0.208,-4.84853697780265
ENSG00000157778.9,PSMG3,PSMG3,-0.449,4.442,-2.001,0.055,0.206,-4.87846077847177
ENSG00000120656.14,TAF12,TAF12,-0.484,4.587,-1.995,0.055,0.208,-5.0098372336017
ENSG00000165669.14,FAM204A,FAM204A,0.385,5.476,1.994,0.055,0.208,-5.0321078461602
ENSG00000146476.11,ARMT1,ARMT1,-0.388,5.65,-1.999,0.055,0.207,-5.03367911351182
ENSG00000101911.13,PRPS2,PRPS2,-0.579,5.114,-2.001,0.055,0.206,-5.07322355219487
ENSG00000198722.15,UNC13B,UNC13B,0.571,6.048,2.002,0.055,0.206,-5.08215993710805
ENSG00000134255.16,CEPT1,CEPT1,0.289,5.409,2,0.055,0.206,-5.11187616516461
ENSG00000109689.20,STIM2,STIM2,-0.456,5.364,-1.999,0.055,0.207,-5.12489146994275
