lib.size,norm.factors,id,sample,treatment,ct,sample_num,bam
11721696.886,1.24675319129216,029T,DD029T_DMSO,DMSO,DD_ALI,sample16,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD029T_DMSO/PACBIO_DATA/XCAST_20250815_R84050_PL21526-002_1-1-C01_IsoSeqX_bc07.bam
11460264.3,1.3177027665687,029T,DO029T_Smg1i,Smg1i,DO,sample26,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO029T_Smg1i/PACBIO_DATA/XCAST_20250815_R84050_PL21527-002_1-1-C01_IsoSeqX_bc08.bam
15203298.875,0.928700911937352,029T,DO029T_DMSO,DMSO,DO,sample25,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DO029T_DMSO/PACBIO_DATA/XCAST_20250818_R84050_PL21528-002_1_D01_IsoSeqX_bc09_3p.bam
16040296.385,1.01856763628305,010R,DD010R_DMSO,DMSO,DD,sample12,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD010R_DMSO/PACBIO_DATA/XCAST_20250818_R84050_PL21530-002_1_D01_IsoSeqX_bc10_3p.bam
15718940.139,1.14458031919611,066Q,DD066Q_Smg1i,Smg1i,DD,sample20,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD066Q_Smg1i/PACBIO_DATA/XCAST_20250818_R84050_PL21531-002_1_D01_IsoSeqX_bc11_3p.bam
15244364.629,1.05008606942975,066Q,DD066Q_DMSO,DMSO,DD,sample19,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD066Q_DMSO/PACBIO_DATA/XCAST_20250818_R84050_PL21532-002_1_D01_IsoSeqX_bc12_3p.bam
11431669.053,1.26969629633122,017Q,DD017Q_DMSO,DMSO,DD,sample13,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD017Q_DMSO/PACBIO_DATA/XCAST_20250825_R84050_PL21534-003_1-1-B01_IsoSeqX_bc02.bam
10668951.769,1.25265100836525,047N,DD047N_DMSO,DMSO,DD,sample17,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD047N_DMSO/PACBIO_DATA/XCAST_20250825_R84050_PL21536-002_1-1-B01_IsoSeqX_bc04.bam
10082284.765,1.29219183308453,2027,AT2027U_Smg1i,Smg1i,AT,sample8,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2027U_Smg1i/PACBIO_DATA/XCAST_20250825_R84050_PL21537-003_1-1-B01_IsoSeqX_bc05.bam
12661149.384,0.961400464985413,2027,AT2027U_DMSO,DMSO,AT,sample7,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2027U_DMSO/PACBIO_DATA/XCAST_20250825_R84050_PL21538-002_1-1-B01_IsoSeqX_bc06.bam
12142809.474,1.04272562781555,2001,AT2001V_Smg1i,Smg1i,AT,sample6,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2001V_Smg1i/PACBIO_DATA/XCAST_20250825_R84050_PL21539-002_1-1-B01_IsoSeqX_bc07.bam
12776488.893,1.4127572172659,017Q,DD017Q_Smg1i,Smg1i,DD,sample14,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD017Q_Smg1i/PACBIO_DATA/XCAST_20250827_R84050_PL21533-003_1-1-C01_IsoSeqX_bc01.bam
12044427.556,1.38742268382597,047N,DD047N_Smg1i,Smg1i,DD,sample18,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/DD047N_Smg1i/PACBIO_DATA/XCAST_20250827_R84050_PL21535-002_1-1-C01_IsoSeqX_bc03.bam
11499989.257,0.87251036995513,2001,AT2001V_DMSO,DMSO,AT,sample5,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2001V_DMSO/PACBIO_DATA/XCAST_20250827_R84050_PL21540-002_1-1-C01_IsoSeqX_bc08.bam
11008121.316,1.08891825769624,2029,AT2029T_Smg1i,Smg1i,AT,sample10,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2029T_Smg1i/PACBIO_DATA/XCAST_20250827_R84050_PL21541-003_1-1-C01_IsoSeqX_bc09.bam
9556556.764,0.960694890477239,2029,AT2029T_DMSO,DMSO,AT,sample9,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20250909/AT2029T_DMSO/PACBIO_DATA/XCAST_20250827_R84050_PL21542-002_1-1-C01_IsoSeqX_bc10.bam
20303348.2,0.802105541171663,027U,MV027U_Smg1i,Smg1i,MV,sample36,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV027U_Smg1i/PACBIO_DATA/XCAST_20251103_R84050_PL28431-001-1-B01_IsoSeqX_bc01.bam
20340782.695,0.616779442634726,027U,MV027U_DMSO,DMSO,MV,sample35,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV027U_DMSO/PACBIO_DATA/XCAST_20251103_R84050_PL28432-001-1-B01_IsoSeqX_bc02.bam
22892448.183,0.705734167526023,027U,FB027U_Smg1i,Smg1i,FB,sample30,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB027U_Smg1i/PACBIO_DATA/XCAST_20251103_R84050_PL28433-001-1-B01_IsoSeqX_bc03.bam
20735254.958,0.67983099996771,027U,FB027U_DMSO,DMSO,FB,sample29,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB027U_DMSO/PACBIO_DATA/XCAST_20251103_R84050_PL28434-001-1-B01_IsoSeqX_bc04.bam
18629835.541,0.849377390326596,001V,MV001V_Smg1i,Smg1i,MV,sample34,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV001V_Smg1i/PACBIO_DATA/XCAST_20251105_R8405_1_PL28435-0011-C01_IsoSeqX_bc05.bam
21973062.375,0.679504564398363,001V,MV001V_DMSO,DMSO,MV,sample33,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV001V_DMSO/PACBIO_DATA/XCAST_20251105_R8405_1_PL28436-0011-C01_IsoSeqX_bc06.bam
18185034.165,0.927956125849134,001V,FB001V_Smg1i,Smg1i,FB,sample28,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB001V_Smg1i/PACBIO_DATA/XCAST_20251105_R8405_1_PL28437-0011-C01_IsoSeqX_bc07.bam
18819876.693,0.709499504286915,001V,FB001V_DMSO,DMSO,FB,sample27,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB001V_DMSO/PACBIO_DATA/XCAST_20251105_R8405_1_PL28438-0011-C01_IsoSeqX_bc08.bam
12951754.597,0.949025603295703,029T,MV029T_Smg1i,Smg1i,MV,sample38,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV029T_Smg1i/PACBIO_DATA/XCAST_20251105_R8405_1_PL28439-0011-D01_IsoSeqX_bc09.bam
32642031.307,0.620851631699503,029T,MV029T_DMSO,DMSO,MV,sample37,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/MV029T_DMSO/PACBIO_DATA/XCAST_20251105_R8405_1_PL28440-0011-D01_IsoSeqX_bc10.bam
14908734.162,0.9040056092744,029T,FB029T_Smg1i_clean,Smg1i,FB,sample32,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB029T_Smg1i_clean/PACBIO_DATA/XCAST_20251105_R8405_1_PL28441-0011-D01_IsoSeqX_bc11.bam
7681121.826,0.91024984735146,029T,FB029T_DMSO_clean,DMSO,FB,sample31,/proj/regeps/regep00/studies/ExternalCellLines/data/longread/mrna/Randell_Lung_Cells_2025/data/raw/20251112/FB029T_DMSO_clean/PACBIO_DATA/XCAST_20251105_R8405_1_PL28442-0011-D01_IsoSeqX_bc12.bam
