# TIMESTAMP|SAMPLE_ID|JOBID|STATUS|ELAPSED_TIME|NODE
2026-01-13 17:22:41|sample1|4274613|R|33:58|cirrus02.bwh.harvard.edu
2026-01-13 17:22:41|sample2|4274614|R|33:45|cirrus02.bwh.harvard.edu
2026-01-13 17:22:41|sample3|4274615|R|33:32|cirrus02.bwh.harvard.edu
2026-01-13 17:22:41|sample4|4274617|R|33:06|green07.bwh.harvard.edu
2026-01-13 17:22:42|sample5|4274619|R|32:43|green07.bwh.harvard.edu
2026-01-13 17:22:42|sample6|4274622|R|32:17|green07.bwh.harvard.edu
2026-01-13 17:22:42|sample7|4274626|R|31:52|chanstack2.bwh.harvard.edu
2026-01-13 17:22:42|sample8|4274630|R|31:27|chanstack3.bwh.harvard.edu
2026-01-13 17:22:43|sample9|4274633|R|31:00|stratus03.bwh.harvard.edu
2026-01-13 17:22:43|sample10|4274637|R|30:35|stratus03.bwh.harvard.edu
2026-01-13 17:22:43|sample11|4274639|R|30:12|stratus03.bwh.harvard.edu
2026-01-13 17:22:44|sample12|4274642|R|29:48|stratus01.bwh.harvard.edu
2026-01-13 17:22:44|sample13|4274645|R|29:22|stratus01.bwh.harvard.edu
2026-01-13 17:22:44|sample14|4274647|R|28:57|stratus01.bwh.harvard.edu
2026-01-13 17:22:45|sample15|4274651|R|28:33|stratus01.bwh.harvard.edu
2026-01-13 17:22:45|sample16|4274655|R|27:42|derby16.bwh.harvard.edu
2026-01-13 17:22:45|sample17|4274659|R|27:03|cirrus02.bwh.harvard.edu
2026-01-13 17:22:45|sample18|4274664|R|26:14|stratus03.bwh.harvard.edu
2026-01-13 17:22:46|sample38|4274825|R|8:35|green07.bwh.harvard.edu
2026-01-13 17:24:46|sample1|4274613|R|36:03|cirrus02.bwh.harvard.edu
2026-01-13 17:24:46|sample2|4274614|R|35:50|cirrus02.bwh.harvard.edu
2026-01-13 17:24:47|sample3|4274615|R|35:38|cirrus02.bwh.harvard.edu
2026-01-13 17:24:47|sample4|4274617|R|35:12|green07.bwh.harvard.edu
2026-01-13 17:24:47|sample5|4274619|R|34:48|green07.bwh.harvard.edu
2026-01-13 17:24:48|sample6|4274622|R|34:23|green07.bwh.harvard.edu
2026-01-13 17:24:48|sample7|4274626|R|33:58|chanstack2.bwh.harvard.edu
2026-01-13 17:24:48|sample8|4274630|R|33:33|chanstack3.bwh.harvard.edu
2026-01-13 17:24:48|sample9|4274633|R|33:05|stratus03.bwh.harvard.edu
2026-01-13 17:24:49|sample10|4274637|R|32:41|stratus03.bwh.harvard.edu
2026-01-13 17:24:49|sample11|4274639|R|32:18|stratus03.bwh.harvard.edu
2026-01-13 17:24:49|sample12|4274642|R|31:53|stratus01.bwh.harvard.edu
2026-01-13 17:24:49|sample13|4274645|R|31:27|stratus01.bwh.harvard.edu
2026-01-13 17:24:50|sample14|4274647|R|31:03|stratus01.bwh.harvard.edu
2026-01-13 17:24:50|sample15|4274651|R|30:38|stratus01.bwh.harvard.edu
2026-01-13 17:24:50|sample16|4274655|R|29:47|derby16.bwh.harvard.edu
2026-01-13 17:24:50|sample17|4274659|R|29:08|cirrus02.bwh.harvard.edu
2026-01-13 17:24:51|sample18|4274664|R|28:20|stratus03.bwh.harvard.edu
2026-01-13 17:24:51|sample38|4274825|R|10:40|green07.bwh.harvard.edu
2026-01-13 17:26:52|sample1|4274613|R|38:09|cirrus02.bwh.harvard.edu
2026-01-13 17:26:52|sample2|4274614|R|37:56|cirrus02.bwh.harvard.edu
2026-01-13 17:26:53|sample3|4274615|R|37:44|cirrus02.bwh.harvard.edu
2026-01-13 17:26:53|sample4|4274617|R|37:18|green07.bwh.harvard.edu
2026-01-13 17:26:53|sample5|4274619|R|36:54|green07.bwh.harvard.edu
2026-01-13 17:26:54|sample6|4274622|R|36:28|green07.bwh.harvard.edu
2026-01-13 17:26:54|sample7|4274626|R|36:04|chanstack2.bwh.harvard.edu
2026-01-13 17:26:55|sample8|4274630|R|35:39|chanstack3.bwh.harvard.edu
2026-01-13 17:26:55|sample9|4274633|R|35:12|stratus03.bwh.harvard.edu
2026-01-13 17:26:55|sample10|4274637|R|34:47|stratus03.bwh.harvard.edu
2026-01-13 17:26:55|sample11|4274639|R|34:24|stratus03.bwh.harvard.edu
2026-01-13 17:26:56|sample12|4274642|R|34:00|stratus01.bwh.harvard.edu
2026-01-13 17:26:56|sample13|4274645|R|33:34|stratus01.bwh.harvard.edu
2026-01-13 17:26:56|sample14|4274647|R|33:09|stratus01.bwh.harvard.edu
2026-01-13 17:26:57|sample15|4274651|R|32:45|stratus01.bwh.harvard.edu
2026-01-13 17:26:57|sample16|4274655|R|31:54|derby16.bwh.harvard.edu
2026-01-13 17:26:57|sample17|4274659|R|31:15|cirrus02.bwh.harvard.edu
2026-01-13 17:26:57|sample18|4274664|R|30:26|stratus03.bwh.harvard.edu
2026-01-13 17:26:58|sample38|4274825|R|12:47|green07.bwh.harvard.edu
2026-01-13 17:28:58|sample1|4274613|R|40:15|cirrus02.bwh.harvard.edu
2026-01-13 17:28:58|sample2|4274614|R|40:02|cirrus02.bwh.harvard.edu
2026-01-13 17:28:59|sample3|4274615|R|39:50|cirrus02.bwh.harvard.edu
2026-01-13 17:28:59|sample4|4274617|R|39:24|green07.bwh.harvard.edu
2026-01-13 17:28:59|sample5|4274619|R|39:00|green07.bwh.harvard.edu
2026-01-13 17:29:00|sample6|4274622|R|38:35|green07.bwh.harvard.edu
2026-01-13 17:29:00|sample7|4274626|R|38:10|chanstack2.bwh.harvard.edu
2026-01-13 17:29:00|sample8|4274630|R|37:45|chanstack3.bwh.harvard.edu
2026-01-13 17:29:00|sample9|4274633|R|37:17|stratus03.bwh.harvard.edu
2026-01-13 17:29:01|sample10|4274637|R|36:53|stratus03.bwh.harvard.edu
2026-01-13 17:29:01|sample11|4274639|R|36:30|stratus03.bwh.harvard.edu
2026-01-13 17:29:01|sample12|4274642|R|36:05|stratus01.bwh.harvard.edu
2026-01-13 17:29:02|sample13|4274645|R|35:40|stratus01.bwh.harvard.edu
2026-01-13 17:29:02|sample14|4274647|R|35:15|stratus01.bwh.harvard.edu
2026-01-13 17:29:03|sample15|4274651|R|34:51|stratus01.bwh.harvard.edu
2026-01-13 17:29:03|sample16|4274655|R|34:00|derby16.bwh.harvard.edu
2026-01-13 17:29:03|sample17|4274659|R|33:21|cirrus02.bwh.harvard.edu
2026-01-13 17:29:03|sample18|4274664|R|32:32|stratus03.bwh.harvard.edu
2026-01-13 17:29:04|sample38|4274825|R|14:53|green07.bwh.harvard.edu
2026-01-13 17:31:04|sample1|4274613|R|42:21|cirrus02.bwh.harvard.edu
2026-01-13 17:31:04|sample2|4274614|R|42:08|cirrus02.bwh.harvard.edu
2026-01-13 17:31:04|sample3|4274615|R|41:55|cirrus02.bwh.harvard.edu
2026-01-13 17:31:05|sample4|4274617|R|41:30|green07.bwh.harvard.edu
2026-01-13 17:31:05|sample5|4274619|R|41:06|green07.bwh.harvard.edu
2026-01-13 17:31:06|sample6|4274622|R|40:40|green07.bwh.harvard.edu
2026-01-13 17:31:06|sample7|4274626|R|40:16|chanstack2.bwh.harvard.edu
2026-01-13 17:31:06|sample8|4274630|R|39:51|chanstack3.bwh.harvard.edu
2026-01-13 17:31:06|sample9|4274633|R|39:23|stratus03.bwh.harvard.edu
2026-01-13 17:31:07|sample10|4274637|R|38:59|stratus03.bwh.harvard.edu
2026-01-13 17:31:07|sample11|4274639|R|38:36|stratus03.bwh.harvard.edu
2026-01-13 17:31:07|sample12|4274642|R|38:11|stratus01.bwh.harvard.edu
2026-01-13 17:31:07|sample13|4274645|R|37:45|stratus01.bwh.harvard.edu
2026-01-13 17:31:08|sample14|4274647|R|37:21|stratus01.bwh.harvard.edu
